Start_state = S0
Final_state = IDENTIFIER, ARITHMETIC_OPERATOR, RELATIONAL_OPERATOR, LOGICAL_OPERATOR, ASSIGN_OPERATOR, NUMBER, REAL, CHAR_LITERAL, STRING_LITERAL, SEMICOLON, COMMA, COLON, DOT, LPARENTHESIS, RPARENTHESIS, LBRACKET, RBRACKET, RANGE_OPERATOR, LT_OP, GT_OP


# identifier
S0 a IDENTIFIER
S0 b IDENTIFIER
S0 c IDENTIFIER
S0 d IDENTIFIER
S0 e IDENTIFIER
S0 f IDENTIFIER
S0 g IDENTIFIER
S0 h IDENTIFIER
S0 i IDENTIFIER
S0 j IDENTIFIER
S0 k IDENTIFIER
S0 l IDENTIFIER
S0 m IDENTIFIER
S0 n IDENTIFIER
S0 o IDENTIFIER
S0 p IDENTIFIER
S0 q IDENTIFIER
S0 r IDENTIFIER
S0 s IDENTIFIER
S0 t IDENTIFIER
S0 u IDENTIFIER
S0 v IDENTIFIER
S0 w IDENTIFIER
S0 x IDENTIFIER
S0 y IDENTIFIER
S0 z IDENTIFIER
S0 A IDENTIFIER
S0 B IDENTIFIER
S0 C IDENTIFIER
S0 D IDENTIFIER
S0 E IDENTIFIER
S0 F IDENTIFIER
S0 G IDENTIFIER
S0 H IDENTIFIER
S0 I IDENTIFIER
S0 J IDENTIFIER
S0 K IDENTIFIER
S0 L IDENTIFIER
S0 M IDENTIFIER
S0 N IDENTIFIER
S0 O IDENTIFIER
S0 P IDENTIFIER
S0 Q IDENTIFIER
S0 R IDENTIFIER
S0 S IDENTIFIER
S0 T IDENTIFIER
S0 U IDENTIFIER
S0 V IDENTIFIER
S0 W IDENTIFIER
S0 X IDENTIFIER
S0 Y IDENTIFIER
S0 Z IDENTIFIER
S0 _ IDENTIFIER

IDENTIFIER a IDENTIFIER
IDENTIFIER b IDENTIFIER
IDENTIFIER c IDENTIFIER
IDENTIFIER d IDENTIFIER
IDENTIFIER e IDENTIFIER
IDENTIFIER f IDENTIFIER
IDENTIFIER g IDENTIFIER
IDENTIFIER h IDENTIFIER
IDENTIFIER i IDENTIFIER
IDENTIFIER j IDENTIFIER
IDENTIFIER k IDENTIFIER
IDENTIFIER l IDENTIFIER
IDENTIFIER m IDENTIFIER
IDENTIFIER n IDENTIFIER
IDENTIFIER o IDENTIFIER
IDENTIFIER p IDENTIFIER
IDENTIFIER q IDENTIFIER
IDENTIFIER r IDENTIFIER
IDENTIFIER s IDENTIFIER
IDENTIFIER t IDENTIFIER
IDENTIFIER u IDENTIFIER
IDENTIFIER v IDENTIFIER
IDENTIFIER w IDENTIFIER
IDENTIFIER x IDENTIFIER
IDENTIFIER y IDENTIFIER
IDENTIFIER z IDENTIFIER
IDENTIFIER A IDENTIFIER
IDENTIFIER B IDENTIFIER
IDENTIFIER C IDENTIFIER
IDENTIFIER D IDENTIFIER
IDENTIFIER E IDENTIFIER
IDENTIFIER F IDENTIFIER
IDENTIFIER G IDENTIFIER
IDENTIFIER H IDENTIFIER
IDENTIFIER I IDENTIFIER
IDENTIFIER J IDENTIFIER
IDENTIFIER K IDENTIFIER
IDENTIFIER L IDENTIFIER
IDENTIFIER M IDENTIFIER
IDENTIFIER N IDENTIFIER
IDENTIFIER O IDENTIFIER
IDENTIFIER P IDENTIFIER
IDENTIFIER Q IDENTIFIER
IDENTIFIER R IDENTIFIER
IDENTIFIER S IDENTIFIER
IDENTIFIER T IDENTIFIER
IDENTIFIER U IDENTIFIER
IDENTIFIER V IDENTIFIER
IDENTIFIER W IDENTIFIER
IDENTIFIER X IDENTIFIER
IDENTIFIER Y IDENTIFIER
IDENTIFIER Z IDENTIFIER
IDENTIFIER 0 IDENTIFIER
IDENTIFIER 1 IDENTIFIER
IDENTIFIER 2 IDENTIFIER
IDENTIFIER 3 IDENTIFIER
IDENTIFIER 4 IDENTIFIER
IDENTIFIER 5 IDENTIFIER
IDENTIFIER 6 IDENTIFIER
IDENTIFIER 7 IDENTIFIER
IDENTIFIER 8 IDENTIFIER
IDENTIFIER 9 IDENTIFIER
IDENTIFIER _ IDENTIFIER

# NUMBERS (yey udh g ada real)
S0 0 NUMBER
S0 1 NUMBER
S0 2 NUMBER
S0 3 NUMBER
S0 4 NUMBER
S0 5 NUMBER
S0 6 NUMBER
S0 7 NUMBER
S0 8 NUMBER
S0 9 NUMBER

NUMBER 0 NUMBER
NUMBER 1 NUMBER
NUMBER 2 NUMBER
NUMBER 3 NUMBER
NUMBER 4 NUMBER
NUMBER 5 NUMBER
NUMBER 6 NUMBER
NUMBER 7 NUMBER
NUMBER 8 NUMBER
NUMBER 9 NUMBER
NUMBER . REAL_DOT

REAL_DOT 0 REAL
REAL_DOT 1 REAL
REAL_DOT 2 REAL
REAL_DOT 3 REAL
REAL_DOT 4 REAL
REAL_DOT 5 REAL
REAL_DOT 6 REAL
REAL_DOT 7 REAL
REAL_DOT 8 REAL
REAL_DOT 9 REAL

REAL 0 REAL
REAL 1 REAL
REAL 2 REAL
REAL 3 REAL
REAL 4 REAL
REAL 5 REAL
REAL 6 REAL
REAL 7 REAL
REAL 8 REAL
REAL 9 REAL

# char n string
S0 ' STRING_START

STRING_START a STRING_CONTENT
STRING_START b STRING_CONTENT
STRING_START c STRING_CONTENT
STRING_START d STRING_CONTENT
STRING_START e STRING_CONTENT
STRING_START f STRING_CONTENT
STRING_START g STRING_CONTENT
STRING_START h STRING_CONTENT
STRING_START i STRING_CONTENT
STRING_START j STRING_CONTENT
STRING_START k STRING_CONTENT
STRING_START l STRING_CONTENT
STRING_START m STRING_CONTENT
STRING_START n STRING_CONTENT
STRING_START o STRING_CONTENT
STRING_START p STRING_CONTENT
STRING_START q STRING_CONTENT
STRING_START r STRING_CONTENT
STRING_START s STRING_CONTENT
STRING_START t STRING_CONTENT
STRING_START u STRING_CONTENT
STRING_START v STRING_CONTENT
STRING_START w STRING_CONTENT
STRING_START x STRING_CONTENT
STRING_START y STRING_CONTENT
STRING_START z STRING_CONTENT
STRING_START A STRING_CONTENT
STRING_START B STRING_CONTENT
STRING_START C STRING_CONTENT
STRING_START D STRING_CONTENT
STRING_START E STRING_CONTENT
STRING_START F STRING_CONTENT
STRING_START G STRING_CONTENT
STRING_START H STRING_CONTENT
STRING_START I STRING_CONTENT
STRING_START J STRING_CONTENT
STRING_START K STRING_CONTENT
STRING_START L STRING_CONTENT
STRING_START M STRING_CONTENT
STRING_START N STRING_CONTENT
STRING_START O STRING_CONTENT
STRING_START P STRING_CONTENT
STRING_START Q STRING_CONTENT
STRING_START R STRING_CONTENT
STRING_START S STRING_CONTENT
STRING_START T STRING_CONTENT
STRING_START U STRING_CONTENT
STRING_START V STRING_CONTENT
STRING_START W STRING_CONTENT
STRING_START X STRING_CONTENT
STRING_START Y STRING_CONTENT
STRING_START Z STRING_CONTENT
STRING_START 0 STRING_CONTENT
STRING_START 1 STRING_CONTENT
STRING_START 2 STRING_CONTENT
STRING_START 3 STRING_CONTENT
STRING_START 4 STRING_CONTENT
STRING_START 5 STRING_CONTENT
STRING_START 6 STRING_CONTENT
STRING_START 7 STRING_CONTENT
STRING_START 8 STRING_CONTENT
STRING_START 9 STRING_CONTENT
STRING_START SPACE STRING_CONTENT
STRING_START = STRING_CONTENT
STRING_START + STRING_CONTENT
STRING_START - STRING_CONTENT
STRING_START * STRING_CONTENT
STRING_START / STRING_CONTENT
STRING_START ( STRING_CONTENT
STRING_START ) STRING_CONTENT
STRING_START , STRING_CONTENT
STRING_START . STRING_CONTENT
STRING_START : STRING_CONTENT
STRING_START ; STRING_CONTENT
STRING_START ! STRING_CONTENT
STRING_START ? STRING_CONTENT
STRING_START @ STRING_CONTENT
STRING_START # STRING_CONTENT
STRING_START $ STRING_CONTENT
STRING_START % STRING_CONTENT
STRING_START ^ STRING_CONTENT
STRING_START & STRING_CONTENT
STRING_START _ STRING_CONTENT
STRING_START | STRING_CONTENT
STRING_START \ STRING_CONTENT
STRING_START < STRING_CONTENT
STRING_START > STRING_CONTENT
STRING_START [ STRING_CONTENT
STRING_START ] STRING_CONTENT
STRING_START { STRING_CONTENT
STRING_START } STRING_CONTENT
STRING_START ~ STRING_CONTENT
STRING_START ` STRING_CONTENT

STRING_CONTENT a STRING_CONTENT
STRING_CONTENT b STRING_CONTENT
STRING_CONTENT c STRING_CONTENT
STRING_CONTENT d STRING_CONTENT
